date, EH, CH, WH, LG,  private,total, days.since
2021-12-15, 3,1,9,0,0,13,2
2021-12-17, 11,4,31,0,0,46,2
2021-12-18, 5,16,2,0,0,23,1
2021-12-19, 13,16,8,1,0,38,1
2021-12-20, 4,10,13,0,0,27,1
2021-12-21, 9,10,8,0,0,27,1
2021-12-22, 37,10,12,1,0,60,1
2021-12-23, 73,19,7,1,0,100,1
2021-12-24, 47,8,26,4,0,85,1
2021-12-27, 262,29,62,4,0,357,3
2021-12-28, 154,15,12,13,0,194,1
2021-12-29, 216,49,30,16,1,312,1
2021-12-30, 199,53,22,66,9,349,1
2022-01-01, 233,35,22,146,6,442,1
2022-01-02, 283,68,58,46,11,466,1
